#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.78850389703717 4.5100553822148255 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 264.1669874932613 3.406752420083457 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.682554775272 1.5234780560690173 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 247.2182484830125 -37.026561070295365 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 192.78059288187865 -20.86142932498753 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 190.79694959449893 -44.30333347921366 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.30534731746036 -1.1542918281131385 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.9462156594073 4.424548017720745 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 265.1820785907932 2.956751204652232 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.35864619196724 -24.06801996449872 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 232.28938660784726 -63.045822245708884 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.23576049906163 -44.98506346891465 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 271.5388164974459 -51.76680472708467 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 256.08656616520545 1.426088703680801 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.682554775272 1.5234780560690173 100000.0 0.0 1575420000.0
